level,label,label_en,label_cn,path_text,parent_path_text,node_id,aria_haspopup,aria_owns,has_children,selected,checked,disabled,class_name
2,Jewelry Making Tools & Accessories(珠宝制作工具和配件),Jewelry Making Tools & Accessories,珠宝制作工具和配件,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Jewelry Making Tools & Accessories(珠宝制作工具和配件)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-6,False,,False,False,False,False,el-cascader-node is-selectable
2,Knitting & Crochet Tools(编织钩针用品/织物/装饰用品),Knitting & Crochet Tools,编织钩针用品/织物/装饰用品,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Knitting & Crochet Tools(编织钩针用品/织物/装饰用品)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-7,False,,False,False,False,False,el-cascader-node is-selectable
2,Model & Hobby Building(模型制作),Model & Hobby Building,模型制作,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Model & Hobby Building(模型制作)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-8,False,,False,False,False,False,el-cascader-node is-selectable
2,Needlework(针线用品),Needlework,针线用品,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Needlework(针线用品)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-9,False,,False,False,False,False,el-cascader-node is-selectable
2,"Organization, Storage & Transport(存储运输)","Organization, Storage & Transport",存储运输,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Organization, Storage & Transport(存储运输)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-10,False,,False,False,False,False,el-cascader-node is-selectable
2,"Painting, Drawing & Art Supplies(绘画用品)","Painting, Drawing & Art Supplies",绘画用品,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Painting, Drawing & Art Supplies(绘画用品)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-11,False,,False,False,False,False,el-cascader-node is-selectable
2,Party Decorations & Supplies(派对装饰及用品),Party Decorations & Supplies,派对装饰及用品,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Party Decorations & Supplies(派对装饰及用品)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-12,False,,False,False,False,False,el-cascader-node is-selectable
2,Printmaking Crafts(版画制作),Printmaking Crafts,版画制作,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Printmaking Crafts(版画制作)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-13,False,,False,False,False,False,el-cascader-node is-selectable
2,Scrapbooking & Stamping(剪贴压印),Scrapbooking & Stamping,剪贴压印,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Scrapbooking & Stamping(剪贴压印)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-14,False,,False,False,False,False,el-cascader-node is-selectable
2,Sewing(缝纫用品),Sewing,缝纫用品,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Sewing(缝纫用品)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-15,False,,False,False,False,False,el-cascader-node is-selectable
2,Yarn(毛线),Yarn,毛线,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Yarn(毛线)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-16,False,,False,False,False,False,el-cascader-node is-selectable
1,Automotive(汽车用品),Automotive,汽车用品,Automotive(汽车用品),,cascader-menu-536-0-3,True,cascader-menu-536-0,True,False,False,False,el-cascader-node is-selectable
2,Car Audio & Video(汽车影音),Car Audio & Video,汽车影音,Automotive(汽车用品) > Car Audio & Video(汽车影音),Automotive(汽车用品),cascader-menu-9493-1-0,False,,False,False,False,False,el-cascader-node is-selectable
2,Car Exterior Care(汽车保养清洁),Car Exterior Care,汽车保养清洁,Automotive(汽车用品) > Car Exterior Care(汽车保养清洁),Automotive(汽车用品),cascader-menu-9493-1-1,False,,False,False,False,False,el-cascader-node is-selectable
2,Car GPS Accessories(车载GPS配件),Car GPS Accessories,车载GPS配件,Automotive(汽车用品) > Car GPS Accessories(车载GPS配件),Automotive(汽车用品),cascader-menu-9493-1-2,False,,False,False,False,False,el-cascader-node is-selectable
2,Car Interior Care(汽车内部保养),Car Interior Care,汽车内部保养,Automotive(汽车用品) > Car Interior Care(汽车内部保养),Automotive(汽车用品),cascader-menu-9493-1-3,False,,False,False,False,False,el-cascader-node is-selectable
2,Car Phone Holder(车载手机支架),Car Phone Holder,车载手机支架,Automotive(汽车用品) > Car Phone Holder(车载手机支架),Automotive(汽车用品),cascader-menu-9493-1-4,False,,False,False,False,False,el-cascader-node is-selectable
2,Car Safety & Security(汽车安全与防盗用品),Car Safety & Security,汽车安全与防盗用品,Automotive(汽车用品) > Car Safety & Security(汽车安全与防盗用品),Automotive(汽车用品),cascader-menu-9493-1-5,False,,False,False,False,False,el-cascader-node is-selectable
2,Car Stickers(汽车贴纸),Car Stickers,汽车贴纸,Automotive(汽车用品) > Car Stickers(汽车贴纸),Automotive(汽车用品),cascader-menu-9493-1-6,False,,False,False,False,False,el-cascader-node is-selectable
2,Car Storage & Organizers(汽车收纳),Car Storage & Organizers,汽车收纳,Automotive(汽车用品) > Car Storage & Organizers(汽车收纳),Automotive(汽车用品),cascader-menu-9493-1-7,False,,False,False,False,False,el-cascader-node is-selectable
2,Car Sunshades(汽车遮阳),Car Sunshades,汽车遮阳,Automotive(汽车用品) > Car Sunshades(汽车遮阳),Automotive(汽车用品),cascader-menu-9493-1-8,False,,False,False,False,False,el-cascader-node is-selectable
2,"Covers, Mats & Cushions(坐垫靠枕)","Covers, Mats & Cushions",坐垫靠枕,"Automotive(汽车用品) > Covers, Mats & Cushions(坐垫靠枕)",Automotive(汽车用品),cascader-menu-9493-1-9,False,,False,False,False,False,el-cascader-node is-selectable
2,Exterior Accessories(外部配饰配件),Exterior Accessories,外部配饰配件,Automotive(汽车用品) > Exterior Accessories(外部配饰配件),Automotive(汽车用品),cascader-menu-9493-1-10,False,,False,False,False,False,el-cascader-node is-selectable
2,Hand Tools(手用工具),Hand Tools,手用工具,Automotive(汽车用品) > Hand Tools(手用工具),Automotive(汽车用品),cascader-menu-9493-1-11,False,,False,False,False,False,el-cascader-node is-selectable
2,Interior Accessories(汽车配饰),Interior Accessories,汽车配饰,Automotive(汽车用品) > Interior Accessories(汽车配饰),Automotive(汽车用品),cascader-menu-9493-1-12,False,,False,False,False,False,el-cascader-node is-selectable
2,Keychains & Key Shells(钥匙扣钥匙包),Keychains & Key Shells,钥匙扣钥匙包,Automotive(汽车用品) > Keychains & Key Shells(钥匙扣钥匙包),Automotive(汽车用品),cascader-menu-9493-1-13,False,,False,False,False,False,el-cascader-node is-selectable
2,Lights & Lighting Accessories(灯光照明配件),Lights & Lighting Accessories,灯光照明配件,Automotive(汽车用品) > Lights & Lighting Accessories(灯光照明配件),Automotive(汽车用品),cascader-menu-9493-1-14,False,,False,False,False,False,el-cascader-node is-selectable
2,Motorcycles & Powersports Accessories(摩托车和动力运动配件),Motorcycles & Powersports Accessories,摩托车和动力运动配件,Automotive(汽车用品) > Motorcycles & Powersports Accessories(摩托车和动力运动配件),Automotive(汽车用品),cascader-menu-9493-1-15,False,,False,False,False,False,el-cascader-node is-selectable
2,Oils & Fluids(油品与车用液体),Oils & Fluids,油品与车用液体,Automotive(汽车用品) > Oils & Fluids(油品与车用液体),Automotive(汽车用品),cascader-menu-9493-1-16,False,,False,False,False,False,el-cascader-node is-selectable
2,Replacement Parts(汽车零件),Replacement Parts,汽车零件,Automotive(汽车用品) > Replacement Parts(汽车零件),Automotive(汽车用品),cascader-menu-9493-1-17,False,,False,False,False,False,el-cascader-node is-selectable
2,RV Furniture(房车家具),RV Furniture,房车家具,Automotive(汽车用品) > RV Furniture(房车家具),Automotive(汽车用品),cascader-menu-9493-1-18,False,,False,False,False,False,el-cascader-node is-selectable
2,RV Parts & Accessories(房车配件),RV Parts & Accessories,房车配件,Automotive(汽车用品) > RV Parts & Accessories(房车配件),Automotive(汽车用品),cascader-menu-9493-1-19,False,,False,False,False,False,el-cascader-node is-selectable
2,Tires & Wheels(轮胎、轮毂及配件),Tires & Wheels,轮胎、轮毂及配件,Automotive(汽车用品) > Tires & Wheels(轮胎、轮毂及配件),Automotive(汽车用品),cascader-menu-9493-1-20,False,,False,False,False,False,el-cascader-node is-selectable
2,Tools & Equipment(汽修工具与设备),Tools & Equipment,汽修工具与设备,Automotive(汽车用品) > Tools & Equipment(汽修工具与设备),Automotive(汽车用品),cascader-menu-9493-1-21,False,,False,False,False,False,el-cascader-node is-selectable
1,Baby & Maternity(母婴用品),Baby & Maternity,母婴用品,Baby & Maternity(母婴用品),,cascader-menu-536-0-4,True,cascader-menu-536-0,True,False,False,False,el-cascader-node is-selectable
2,Baby & Toddler Toys(婴幼玩具),Baby & Toddler Toys,婴幼玩具,Baby & Maternity(母婴用品) > Baby & Toddler Toys(婴幼玩具),Baby & Maternity(母婴用品),cascader-menu-9493-1-0,False,,False,False,False,False,el-cascader-node is-selectable
2,Baby Activity & Entertainment(婴儿娱乐),Baby Activity & Entertainment,婴儿娱乐,Baby & Maternity(母婴用品) > Baby Activity & Entertainment(婴儿娱乐),Baby & Maternity(母婴用品),cascader-menu-9493-1-1,False,,False,False,False,False,el-cascader-node is-selectable
2,Baby Care(婴儿护理),Baby Care,婴儿护理,Baby & Maternity(母婴用品) > Baby Care(婴儿护理),Baby & Maternity(母婴用品),cascader-menu-9493-1-2,False,,False,False,False,False,el-cascader-node is-selectable
2,Baby Gifts(婴儿礼品),Baby Gifts,婴儿礼品,Baby & Maternity(母婴用品) > Baby Gifts(婴儿礼品),Baby & Maternity(母婴用品),cascader-menu-9493-1-3,False,,False,False,False,False,el-cascader-node is-selectable
2,Baby Stationery(婴幼儿文创用品),Baby Stationery,婴幼儿文创用品,Baby & Maternity(母婴用品) > Baby Stationery(婴幼儿文创用品),Baby & Maternity(母婴用品),cascader-menu-9493-1-4,False,,False,False,False,False,el-cascader-node is-selectable
2,Baby Storage & Organization(婴儿收纳),Baby Storage & Organization,婴儿收纳,Baby & Maternity(母婴用品) > Baby Storage & Organization(婴儿收纳),Baby & Maternity(母婴用品),cascader-menu-9493-1-5,False,,False,False,False,False,el-cascader-node is-selectable
2,Baby Travel Gear(婴儿旅行装备),Baby Travel Gear,婴儿旅行装备,Baby & Maternity(母婴用品) > Baby Travel Gear(婴儿旅行装备),Baby & Maternity(母婴用品),cascader-menu-9493-1-6,False,,False,False,False,False,el-cascader-node is-selectable
2,Diapering(婴儿尿布),Diapering,婴儿尿布,Baby & Maternity(母婴用品) > Diapering(婴儿尿布),Baby & Maternity(母婴用品),cascader-menu-9493-1-7,False,,False,False,False,False,el-cascader-node is-selectable
2,Feeding(婴儿喂食),Feeding,婴儿喂食,Baby & Maternity(母婴用品) > Feeding(婴儿喂食),Baby & Maternity(母婴用品),cascader-menu-9493-1-8,False,,False,False,False,False,el-cascader-node is-selectable
2,Nursery(婴儿寝具),Nursery,婴儿寝具,Baby & Maternity(母婴用品) > Nursery(婴儿寝具),Baby & Maternity(母婴用品),cascader-menu-9493-1-9,False,,False,False,False,False,el-cascader-node is-selectable
2,Nursery Decor(育婴房装饰),Nursery Decor,育婴房装饰,Baby & Maternity(母婴用品) > Nursery Decor(育婴房装饰),Baby & Maternity(母婴用品),cascader-menu-9493-1-10,False,,False,False,False,False,el-cascader-node is-selectable
2,Potty Training(婴幼儿坐便用具),Potty Training,婴幼儿坐便用具,Baby & Maternity(母婴用品) > Potty Training(婴幼儿坐便用具),Baby & Maternity(母婴用品),cascader-menu-9493-1-11,False,,False,False,False,False,el-cascader-node is-selectable
2,Pregnancy & Maternity(怀孕分娩用品),Pregnancy & Maternity,怀孕分娩用品,Baby & Maternity(母婴用品) > Pregnancy & Maternity(怀孕分娩用品),Baby & Maternity(母婴用品),cascader-menu-9493-1-12,False,,False,False,False,False,el-cascader-node is-selectable
2,Safety(婴儿安全),Safety,婴儿安全,Baby & Maternity(母婴用品) > Safety(婴儿安全),Baby & Maternity(母婴用品),cascader-menu-9493-1-13,False,,False,False,False,False,el-cascader-node is-selectable
2,Strollers & Accessories(婴儿车),Strollers & Accessories,婴儿车,Baby & Maternity(母婴用品) > Strollers & Accessories(婴儿车),Baby & Maternity(母婴用品),cascader-menu-9493-1-14,False,,False,False,False,False,el-cascader-node is-selectable
1,Bags & Luggage(箱包),Bags & Luggage,箱包,Bags & Luggage(箱包),,cascader-menu-536-0-5,True,cascader-menu-536-0,True,False,False,False,el-cascader-node is-selectable
2,Briefcases(公文包),Briefcases,公文包,Bags & Luggage(箱包) > Briefcases(公文包),Bags & Luggage(箱包),cascader-menu-9493-1-0,False,,False,False,False,False,el-cascader-node is-selectable
2,Casual Daypacks & Backpacks(休闲背包),Casual Daypacks & Backpacks,休闲背包,Bags & Luggage(箱包) > Casual Daypacks & Backpacks(休闲背包),Bags & Luggage(箱包),cascader-menu-9493-1-1,False,,False,False,False,False,el-cascader-node is-selectable
2,Gym Bag(健身包),Gym Bag,健身包,Bags & Luggage(箱包) > Gym Bag(健身包),Bags & Luggage(箱包),cascader-menu-9493-1-2,False,,False,False,False,False,el-cascader-node is-selectable
2,Hiking Daypacks(徒步登山包),Hiking Daypacks,徒步登山包,Bags & Luggage(箱包) > Hiking Daypacks(徒步登山包),Bags & Luggage(箱包),cascader-menu-9493-1-3,False,,False,False,False,False,el-cascader-node is-selectable
2,Hobo Bags(新月包),Hobo Bags,新月包,Bags & Luggage(箱包) > Hobo Bags(新月包),Bags & Luggage(箱包),cascader-menu-9493-1-4,False,,False,False,False,False,el-cascader-node is-selectable
2,Laptop Bags(电脑包),Laptop Bags,电脑包,Bags & Luggage(箱包) > Laptop Bags(电脑包),Bags & Luggage(箱包),cascader-menu-9493-1-5,False,,False,False,False,False,el-cascader-node is-selectable
2,Luggage(行李箱),Luggage,行李箱,Bags & Luggage(箱包) > Luggage(行李箱),Bags & Luggage(箱包),cascader-menu-9493-1-6,False,,False,False,False,False,el-cascader-node is-selectable
2,Luggage & Travel Bag Accessories(箱包旅行配件),Luggage & Travel Bag Accessories,箱包旅行配件,Bags & Luggage(箱包) > Luggage & Travel Bag Accessories(箱包旅行配件),Bags & Luggage(箱包),cascader-menu-9493-1-7,False,,False,False,False,False,el-cascader-node is-selectable
2,Luggage & Travel Gear(行李箱和旅行用品),Luggage & Travel Gear,行李箱和旅行用品,Bags & Luggage(箱包) > Luggage & Travel Gear(行李箱和旅行用品),Bags & Luggage(箱包),cascader-menu-9493-1-8,False,,False,False,False,False,el-cascader-node is-selectable
2,Makeup Bag(化妆包),Makeup Bag,化妆包,Bags & Luggage(箱包) > Makeup Bag(化妆包),Bags & Luggage(箱包),cascader-menu-9493-1-9,False,,False,False,False,False,el-cascader-node is-selectable
2,Men's Handbags(男士手提包),Men's Handbags,男士手提包,Bags & Luggage(箱包) > Men's Handbags(男士手提包),Bags & Luggage(箱包),cascader-menu-9493-1-10,False,,False,False,False,False,el-cascader-node is-selectable
2,Men's Shoulder Bags(男士单肩包),Men's Shoulder Bags,男士单肩包,Bags & Luggage(箱包) > Men's Shoulder Bags(男士单肩包),Bags & Luggage(箱包),cascader-menu-9493-1-11,False,,False,False,False,False,el-cascader-node is-selectable
2,Men's Wallets & Card Cases(男士钱包、卡包),Men's Wallets & Card Cases,男士钱包、卡包,Bags & Luggage(箱包) > Men's Wallets & Card Cases(男士钱包、卡包),Bags & Luggage(箱包),cascader-menu-9493-1-12,False,,False,False,False,False,el-cascader-node is-selectable
2,Messenger Bags(邮差包),Messenger Bags,邮差包,Bags & Luggage(箱包) > Messenger Bags(邮差包),Bags & Luggage(箱包),cascader-menu-9493-1-13,False,,False,False,False,False,el-cascader-node is-selectable
2,Passport Covers & Wallets(证件包与钱包),Passport Covers & Wallets,证件包与钱包,Bags & Luggage(箱包) > Passport Covers & Wallets(证件包与钱包),Bags & Luggage(箱包),cascader-menu-9493-1-14,False,,False,False,False,False,el-cascader-node is-selectable
2,Storage Bag(收纳包),Storage Bag,收纳包,Bags & Luggage(箱包) > Storage Bag(收纳包),Bags & Luggage(箱包),cascader-menu-9493-1-15,False,,False,False,False,False,el-cascader-node is-selectable
2,Student Backpacks(学生双肩包),Student Backpacks,学生双肩包,Bags & Luggage(箱包) > Student Backpacks(学生双肩包),Bags & Luggage(箱包),cascader-menu-9493-1-16,False,,False,False,False,False,el-cascader-node is-selectable
2,Toiletry Bags(洗漱包),Toiletry Bags,洗漱包,Bags & Luggage(箱包) > Toiletry Bags(洗漱包),Bags & Luggage(箱包),cascader-menu-9493-1-17,False,,False,False,False,False,el-cascader-node is-selectable
2,Umbrellas(晴雨伞),Umbrellas,晴雨伞,Bags & Luggage(箱包) > Umbrellas(晴雨伞),Bags & Luggage(箱包),cascader-menu-9493-1-18,False,,False,False,False,False,el-cascader-node is-selectable
2,Waist & Chest bags(男士胸包和腰包),Waist & Chest bags,男士胸包和腰包,Bags & Luggage(箱包) > Waist & Chest bags(男士胸包和腰包),Bags & Luggage(箱包),cascader-menu-9493-1-19,False,,False,False,False,False,el-cascader-node is-selectable
2,Women's Backpacks & Bookbags(女士背包),Women's Backpacks & Bookbags,女士背包,Bags & Luggage(箱包) > Women's Backpacks & Bookbags(女士背包),Bags & Luggage(箱包),cascader-menu-9493-1-20,False,,False,False,False,False,el-cascader-node is-selectable
2,Women's Clutches & Evening Bags(女士手拿包和晚宴包),Women's Clutches & Evening Bags,女士手拿包和晚宴包,Bags & Luggage(箱包) > Women's Clutches & Evening Bags(女士手拿包和晚宴包),Bags & Luggage(箱包),cascader-menu-9493-1-21,False,,False,False,False,False,el-cascader-node is-selectable
2,Women's crossbody bags(女士斜挎包),Women's crossbody bags,女士斜挎包,Bags & Luggage(箱包) > Women's crossbody bags(女士斜挎包),Bags & Luggage(箱包),cascader-menu-9493-1-22,False,,False,False,False,False,el-cascader-node is-selectable
2,Women's handbags(女士手提包),Women's handbags,女士手提包,Bags & Luggage(箱包) > Women's handbags(女士手提包),Bags & Luggage(箱包),cascader-menu-9493-1-23,False,,False,False,False,False,el-cascader-node is-selectable
2,Women's Purse Set(女包套装),Women's Purse Set,女包套装,Bags & Luggage(箱包) > Women's Purse Set(女包套装),Bags & Luggage(箱包),cascader-menu-9493-1-24,False,,False,False,False,False,el-cascader-node is-selectable
2,Women's Satchels(女士斜挎包),Women's Satchels,女士斜挎包,Bags & Luggage(箱包) > Women's Satchels(女士斜挎包),Bags & Luggage(箱包),cascader-menu-9493-1-25,False,,False,False,False,False,el-cascader-node is-selectable
2,Women's shoulder bags(女士单肩包),Women's shoulder bags,女士单肩包,Bags & Luggage(箱包) > Women's shoulder bags(女士单肩包),Bags & Luggage(箱包),cascader-menu-9493-1-26,False,,False,False,False,False,el-cascader-node is-selectable
2,Women's tote bags(女士托特包),Women's tote bags,女士托特包,Bags & Luggage(箱包) > Women's tote bags(女士托特包),Bags & Luggage(箱包),cascader-menu-9493-1-27,False,,False,False,False,False,el-cascader-node is-selectable
2,Women's Waist & Chest Bags(女式腰包和胸包),Women's Waist & Chest Bags,女式腰包和胸包,Bags & Luggage(箱包) > Women's Waist & Chest Bags(女式腰包和胸包),Bags & Luggage(箱包),cascader-menu-9493-1-28,False,,False,False,False,False,el-cascader-node is-selectable
2,Women's Wallets & Card Cases(女士钱包、卡包),Women's Wallets & Card Cases,女士钱包、卡包,Bags & Luggage(箱包) > Women's Wallets & Card Cases(女士钱包、卡包),Bags & Luggage(箱包),cascader-menu-9493-1-29,False,,False,False,False,False,el-cascader-node is-selectable
1,Beachwear(泳衣),Beachwear,泳衣,Beachwear(泳衣),,cascader-menu-536-0-6,True,cascader-menu-536-0,True,False,False,False,el-cascader-node is-selectable
2,Curve Beachwear Bottoms(女士大码沙滩下装),Curve Beachwear Bottoms,女士大码沙滩下装,Beachwear(泳衣) > Curve Beachwear Bottoms(女士大码沙滩下装),Beachwear(泳衣),cascader-menu-9493-1-0,False,,False,False,False,False,el-cascader-node is-selectable
2,Curve Bikini Sets(女士大码比基尼套装),Curve Bikini Sets,女士大码比基尼套装,Beachwear(泳衣) > Curve Bikini Sets(女士大码比基尼套装),Beachwear(泳衣),cascader-menu-9493-1-1,False,,False,False,False,False,el-cascader-node is-selectable
2,Curve Bikini Tops(女士大码比基尼上衣),Curve Bikini Tops,女士大码比基尼上衣,Beachwear(泳衣) > Curve Bikini Tops(女士大码比基尼上衣),Beachwear(泳衣),cascader-menu-9493-1-2,False,,False,False,False,False,el-cascader-node is-selectable
2,Curve Cover Ups(女士大码罩衫),Curve Cover Ups,女士大码罩衫,Beachwear(泳衣) > Curve Cover Ups(女士大码罩衫),Beachwear(泳衣),cascader-menu-9493-1-3,False,,False,False,False,False,el-cascader-node is-selectable
